"brand","model","fuel_type","drop_percent"
acura,rdx advance package,gasoline,50.850200770302386
acura,rdx base,gasoline,39.40603943099576
acura,rdx advance package,gasoline,46.082930426944195
acura,rdx technology package,gasoline,34.993148616949625
acura,rdx advance package,gasoline,47.57026960583463
acura,rdx advance package,gasoline,49.022781283290996
acura,rdx,gasoline,47.14671979507614
acura,rdx,gasoline,43.27186972697148
acura,rdx,gasoline,47.14671979507614
acura,rdx,gasoline,36.98184553457074
acura,rdx base,gasoline,25.380583978038434
acura,rdx,gasoline,50.192116123523554
acura,rdx advance package,gasoline,39.189133819552566
acura,rdx advance package,gasoline,52.898877325247895
acura,rdx,gasoline,51.2126694992783
acura,rdx,gasoline,49.179694647177215
acura,rdx,gasoline,43.080770090873976
acura,rdx advance package,gasoline,44.76153404900434
acura,rdx base,gasoline,46.84302470676317
acura,rdx technology package,gasoline,32.65903337436421
acura,rdx technology package,gasoline,45.47460343265903
acura,rdx advance package,gasoline,56.28329099401787
acura,rdx technology package,gasoline,37.292426318600924
acura,tlx technology,gasoline,30.386241749174918
acura,tlx technology,gasoline,33.73556105610561
acura,tlx technology,gasoline,40.95503300330033
acura,tlx technology,gasoline,30.667285478547857
acura,tlx base,gasoline,33.43451287376521
acura,tlx technology,gasoline,30.386241749174918
acura,tlx technology,gasoline,47.42419554455445
acura,tlx technology,gasoline,32.57786716171617
acura,tlx technology,gasoline,39.40800330033004
acura,tlx technology,gasoline,38.12396864686469
acura,tlx technology,gasoline,38.13170379537954
acura,tlx technology,gasoline,38.14201732673268
acura,tlx technology,gasoline,38.90521864686469
acura,tlx technology,gasoline,37.881600660066006
acura,tlx technology,gasoline,36.84251237623762
acura,tlx technology,gasoline,31.938428217821784
acura,tlx technology,gasoline,32.9878300330033
acura,tlx technology,gasoline,46.13758250825082
acura,tlx technology,gasoline,35.79826732673268
acura,tlx technology,gasoline,36.837355610561055
acura,tlx technology,gasoline,36.04579207920792
acura,tlx technology,gasoline,32.60365099009901
acura,tlx technology,gasoline,43.739686468646866
acura,tlx technology,gasoline,29.36004537953795
acura,tlx technology,gasoline,43.275577557755774
acura,tlx technology,gasoline,39.49824669966996
acura,tlx technology,gasoline,43.538572607260726
acura,tlx base,gasoline,37.81452192667146
acura,tlx technology,gasoline,38.3766501650165
acura,tlx technology,gasoline,25.25783828382838
acura,tlx technology,gasoline,43.301361386138616
acura,tlx technology,gasoline,25.0799298679868
acura,tlx technology,gasoline,38.13170379537954
acura,tlx technology,gasoline,38.15748762376238
acura,tlx technology,gasoline,40.710086633663366
acura,tlx technology,gasoline,58.745874587458744
acura,tlx technology,gasoline,33.48545792079208
acura,tlx base,gasoline,35.162552919562266
acura,tlx technology,gasoline,56.18038366336634
acura,tlx technology,gasoline,35.54816419141914
acura,tlx technology,gasoline,33.20699257425743
acura,tlx base,gasoline,25.326836541789817
acura,tlx technology,gasoline,35.54558580858086
