"brand","model","fuel_type","new_price","used_price","drop_percent"
bmw,"430 430i xdrive",gasoline,44995.0,30995.0,31.11
kia,sportage lx,gasoline,25358.0,17492.0,31.02
jeep,renegade trailhawk 4x4,gasoline,30241.0,20891.0,30.92
chevrolet,silverado 1500 custom,gasoline,43213.0,29863.0,30.89
dodge,durango r/t,gasoline,50277.0,34751.0,30.88
ford,ecosport ses,gasoline,27589.0,19079.0,30.85
ram,"1500 sport",gasoline,50363.0,34833.0,30.84
volkswagen,tiguan 2.0t se,gasoline,30703.0,21233.0,30.84
ford,escape s,gasoline,25696.0,17775.0,30.83
gmc,terrain slt,gasoline,32655.0,22620.0,30.73
toyota,tundra sr5,gasoline,53025.0,36761.0,30.67
nissan,titan s,gasoline,38529.0,26725.0,30.64
ram,"2500 power wagon",gasoline,65763.0,45619.0,30.63
ram,"3500 big horn",gasoline,66100.0,45866.0,30.61
ford,edge sport,gasoline,37616.0,26109.0,30.59
jeep,wrangler rubicon,gasoline,55452.0,38506.0,30.56
toyota,avalon touring,gasoline,42555.0,29574.0,30.5
toyota,sequoia trd sport,gasoline,59601.0,41454.0,30.45
honda,pilot ex-l,gasoline,38788.0,26982.0,30.44
jeep,compass limited,gasoline,32026.0,22278.0,30.44
ram,"3500 tradesman",gasoline,54019.0,37577.0,30.44
ram,"1500 lone star",gasoline,40912.0,28475.0,30.4
jeep,renegade sport,gasoline,26452.0,18434.0,30.31
ford,ecosport se,gasoline,25477.0,17774.0,30.24
gmc,terrain denali,gasoline,38549.0,26892.0,30.24
ram,"2500 big horn crew cab 4x4 6'4' box",gasoline,51404.0,35873.0,30.21
nissan,rogue sport sv,gasoline,28249.0,19734.0,30.14
mercedes-benz,glc 300,gasoline,46266.0,32325.0,30.13
chevrolet,equinox premier,gasoline,32607.0,22787.0,30.12
jeep,compass sport,gasoline,26792.0,18721.0,30.12
mazda,cx-9 signature,gasoline,42863.0,29966.0,30.09
chevrolet,silverado 1500 lt,gasoline,48950.0,34225.0,30.08
bmw,m4,gasoline,78622.0,54990.0,30.06
jeep,compass limited 4x4,gasoline,32988.0,23082.0,30.03
gmc,terrain sle,gasoline,30229.0,21158.0,30.01
dodge,challenger r/t scat pack,gasoline,55163.0,38628.0,29.97
acura,tlx base,gasoline,37557.0,26309.0,29.95
kia,forte lx,gasoline,23025.0,16133.0,29.93
toyota,highlander xle,gasoline,43096.0,30196.0,29.93
mitsubishi,eclipse cross sel,gasoline,27636.0,19374.0,29.9
toyota,tacoma trd,gasoline,50990.0,35780.0,29.83
chevrolet,traverse lt leather,gasoline,39111.0,27488.0,29.72
kia,stinger gt2,gasoline,47513.0,33395.0,29.71
honda,ridgeline rtl-e,gasoline,42054.0,29570.0,29.69
nissan,altima 2.5 s,gasoline,23931.0,16828.0,29.68
nissan,murano s,gasoline,31221.0,21967.0,29.64
dodge,charger gt,gasoline,35463.0,24966.0,29.6
toyota,camry xle,gasoline,35036.0,24684.0,29.55
lexus,lc 500 base,gasoline,104189.0,73496.0,29.46
ford,mustang ecoboost premium,gasoline,34247.0,24160.0,29.45
bmw,m3 base,gasoline,82842.0,58542.0,29.33
ford,f-350 xlt,gasoline,62149.0,43949.0,29.28
toyota,rav4 xle,gasoline,34067.0,24096.0,29.27
chevrolet,silverado 3500 lt,gasoline,61714.0,43662.0,29.25
honda,ridgeline rtl,gasoline,39653.0,28057.0,29.24
jeep,renegade trailhawk,gasoline,30343.0,21493.0,29.17
honda,accord touring 2.0t,gasoline,37766.0,26760.0,29.14
hyundai,tucson se,gasoline,26576.0,18832.0,29.14
honda,odyssey ex-l,gasoline,39277.0,27874.0,29.03
infiniti,q60 3.0t red sport 400,gasoline,51850.0,36815.0,29.0
dodge,charger sxt,gasoline,31543.0,22400.0,28.99
kia,sportage sx turbo,gasoline,32456.0,23059.0,28.95
jeep,renegade limited,gasoline,29855.0,21216.0,28.94
mitsubishi,outlander sport le,gasoline,25252.0,17961.0,28.87
toyota,corolla xse,gasoline,28448.0,20241.0,28.85
volkswagen,tiguan s,gasoline,26694.0,18999.0,28.83
chevrolet,equinox 1lt,gasoline,27819.0,19806.0,28.8
toyota,sequoia sr5,gasoline,53219.0,37891.0,28.8
jeep,compass trailhawk,gasoline,31645.0,22534.0,28.79
toyota,"4runner limited 4wd",gasoline,54600.0,38887.0,28.78
mercedes-benz,metris base,gasoline,43231.0,30829.0,28.69
